"Easy Tabs","علامات تبويب سهلة"
"Add New Tab","إضافة صفحه جديدة"
"New Tab","علامة تبويب جديدة"
Alias,"الاسم المستعار"
"Manage Tabs","إدارة علامات التبويب"
"This tab no longer exists.","علامة التبويب هذه لم تعد موجودة."
"Tab has been saved.","تم حفظ علامة التبويب."
"Something went wrong while saving the tab.","حدث خطأ ما أثناء حفظ علامة التبويب."
"Html content","محتوى Html"
Unset,"غير محدد"
"Custom Block","كتلة مخصصة"
"Product Description","وصف المنتج"
"We Also Recommend","نوصي أيضا"
"Product's Reviews","مراجعات المنتج"
